"provider","doi","citeulike","connotea","scopus","ploscounter","pmc","facebook","mendeley","twitter","date_modified"
"altmetric","10.1371/journal.pone.0052785",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0052785",NA,NA,NA,329,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0028846",0,0,0,1198,550,0,10,0,2013-05-13
"altmetric","10.1371/journal.pone.0028846",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0028846",NA,NA,NA,1089,NA,NA,10,NA,2013-05-13
"plosalm","10.1371/journal.pone.0034126",0,0,1,620,205,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0034126",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0034126",NA,NA,1,578,1,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0034125",0,0,0,1268,283,0,9,0,2013-05-13
"altmetric","10.1371/journal.pone.0034125",0,0,NA,NA,NA,NA,4,2,2012-04-03
"impactstory","10.1371/journal.pone.0034125",NA,NA,NA,1234,NA,NA,8,1,2013-05-13
"plosalm","10.1371/journal.pone.0026197",0,0,0,1025,166,1,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0026197",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0026197",NA,NA,NA,924,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0031484",0,0,0,902,242,0,1,0,2013-05-13
"altmetric","10.1371/journal.pone.0031484",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0031484",NA,NA,NA,854,NA,NA,1,NA,2013-05-13
"plosalm","10.1371/journal.pone.0036829",0,0,0,590,214,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0036829",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0036829",NA,NA,NA,581,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0028839",0,0,1,1104,520,0,4,0,2013-05-13
"altmetric","10.1371/journal.pone.0028839",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0028839",NA,NA,1,1065,2,NA,4,NA,2013-05-13
"plosalm","10.1371/journal.pone.0044826",0,0,0,847,456,3,22,1,2013-05-13
"altmetric","10.1371/journal.pone.0044826",0,0,NA,NA,NA,NA,0,1,2012-11-15
"impactstory","10.1371/journal.pone.0044826",NA,NA,NA,834,NA,NA,22,NA,2013-05-13
"plosalm","10.1371/journal.pone.0034110",0,0,5,1242,417,0,8,0,2013-05-13
"altmetric","10.1371/journal.pone.0034110",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0034110",NA,NA,5,1210,1,NA,8,NA,2013-05-13
"plosalm","10.1371/journal.pone.0026192",0,0,2,711,157,0,2,0,2013-05-13
"altmetric","10.1371/journal.pone.0026192",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0026192",NA,NA,2,610,NA,NA,2,NA,2013-05-13
"plosalm","10.1371/journal.pone.0028837",0,0,0,1665,499,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0028837",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0028837",NA,NA,NA,1560,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0028836",1,0,1,1302,139,0,8,0,2013-05-13
"altmetric","10.1371/journal.pone.0028836",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0028836",NA,NA,1,1205,NA,NA,8,1,2013-05-13
"plosalm","10.1371/journal.pone.0031479",0,0,0,561,113,0,5,0,2013-05-13
"altmetric","10.1371/journal.pone.0031479",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0031479",NA,NA,NA,523,NA,NA,5,NA,2013-05-13
"plosalm","10.1371/journal.pone.0034112",0,0,2,1282,305,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0034112",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0034112",NA,NA,2,1221,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0028821",0,0,0,1081,104,0,6,0,2013-05-13
"altmetric","10.1371/journal.pone.0028821",0,0,NA,NA,NA,NA,2,1,2011-12-27
"impactstory","10.1371/journal.pone.0028821",NA,NA,NA,978,NA,NA,6,NA,2013-05-13
